"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Pentium® Processor 2000 Series","Mobile","2117U","Launched","22 nm",134,2,2,1.8,3.3,2,"5 GT/s DMI",17,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"350 MHz","1.00 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",1,"105 C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,67,67
"Intel® Pentium® Processor 2000 Series","Mobile","2030M","Launched","22 nm",134,2,2,2.5,3.3,2,"5 GT/s DMI",35,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"650 MHz","1.10 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",1,"90 C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2013,67,67
"Intel® Pentium® Processor 2000 Series","Mobile","2127U","Launched","22 nm",134,2,2,1.9,3.3,2,"5 GT/s DMI",17,"No","Yes","32 GB","DDR3/L/-RS 1333/1600	",2,"25.6 GB/s","No",NA,"350 MHz","1.10 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",1,"105 C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2013,67,67
"Intel® Pentium® Processor 2000 Series","Mobile","2129Y","Launched","22 nm",303,2,2,1.1,3.3,2,"5 GT/s DMI",10,"No","Yes","32 GB","DDR3/L/-RS 1333/1600",2,"25.6 GB/s","No",NA,"350 MHz","850 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"","",NA,"105 C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2013,151.5,151.5
"Legacy Intel® Pentium® Processor","Mobile","753","End of Interactive Support","90 nm",303,1,4,1.2,3.3,2,"400 MHz FSB",5.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","733","End of Interactive Support","90 nm",303,1,4,1.1,3.3,2,"400 MHz FSB",5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","723","End of Interactive Support","90 nm",303,1,4,1,3.3,2,"400 MHz FSB",5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","713","End of Interactive Support","130 nm",303,1,4,1.1,3.3,1,"400 MHz FSB",7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","778","End of Interactive Support","90 nm",303,1,4,1.6,3.3,2,"400 MHz FSB",7.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Pentium® Processor","Mobile","738","End of Interactive Support","90 nm",303,1,4,1.4,3.3,2,"400 MHz FSB",7.5,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
