"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Legacy Intel® Celeron® Processor","Desktop","347","End of Interactive Support","65 nm",303,1,4,3.06,3.3,0.5,"533 MHz FSB",86,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"C1=69.2°C; D0=64.4°C","No","No","Yes","64-bit","","Yes","","","Yes",2006,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","346","End of Interactive Support","90 nm",303,1,4,3.06,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","Yes","64-bit","","Yes","Yes","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","345J","End of Interactive Support","90 nm",303,1,4,3.06,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","No","32-bit","","Yes","Yes","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","345","End of Interactive Support","90 nm",303,1,4,3.06,3.3,0.25,"533 MHz FSB",73,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","341","End of Interactive Support","90 nm",303,1,4,2.93,3.3,0.25,"533 MHz FSB",84,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","Yes","64-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","340J","End of Interactive Support","90 nm",303,1,4,2.93,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","No","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","",303,1,4,0.3,3.3,0.5,"66 MHz FSB",18.48,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","","","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","340","End of Interactive Support","90 nm",303,1,4,2.93,3.3,0.25,"533 MHz FSB",73,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","",303,1,4,0.266,3.3,3,"66 MHz FSB",16.59,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","","","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","336","End of Interactive Support","90 nm",303,1,4,2.8,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","250 nm",303,1,4,0.466,3.3,0.125,"66 MHz FSB",47,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.65,3.3,0.25,"100 MHz FSB",8.3,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","","","32-bit","","","","","",2001,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","335J","End of Interactive Support","90 nm",303,1,4,2.8,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","No","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.766,3.3,0.125,"66 MHz FSB",20,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.8,3.3,0.125,"400 MHz FSB",68.4,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"75°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","335","End of Interactive Support","90 nm",303,1,4,2.8,3.3,0.25,"533 MHz FSB",73,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","","No","","32-bit","","","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.933,3.3,0.125,"133 MHz FSB",20.6,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.733,3.3,0.125,"66 MHz FSB",23.6,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","No","No","No","32-bit","","No","","","No",2000,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.7,3.3,0.125,"400 MHz FSB",66.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"74°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","383","End of Interactive Support","90 nm",303,1,4,1,3.3,1,"400 MHz FSB",5.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","335","End of Interactive Support","90 nm",303,1,4,2.8,3.3,0.25,"533 MHz FSB",73,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.4,3.3,0.125,"100 MHz FSB",6.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.95,3.3,0.125,"100 MHz FSB",28,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"79°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.7,3.3,0.125,"66 MHz FSB",18.3,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.6,3.3,0.125,"400 MHz FSB",62.6,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","373","End of Interactive Support","90 nm",303,1,4,1,3.3,0.5,"400 MHz FSB",5.5,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","331","End of Interactive Support","90 nm",303,1,4,2.66,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","807","Launched","32 nm",303,1,2,1.5,3.3,1.5,"5 GT/s DMI",17,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"350 MHz","950 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","Yes","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,303,151.5
"Legacy Intel® Celeron® Processor","Mobile","B800","Launched","32 nm",303,2,2,1.5,3.3,2,"5 GT/s DMI",35,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"650 MHz","1.00 GHz","","eDP/DP/HDMI/SDVO/CRT ",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2011,151.5,151.5
"Legacy Intel® Celeron® Processor","Desktop","G530","End of Life","32 nm",42,2,2,2.4,3.3,2,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.00 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,21,21
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.9,3.3,0.125,"100 MHz FSB",24,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.866,3.3,0.125,"133 MHz FSB",23.3,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,0.9,3.3,0.25,"100 MHz FSB",34.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.667,3.3,0.125,"66 MHz FSB",17.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"82°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.5,3.3,0.125,"400 MHz FSB",61,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","353","End of Interactive Support","90 nm",303,1,4,0.9,3.3,0.5,"400 MHz FSB",5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","330J","End of Interactive Support","90 nm",303,1,4,2.66,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","No","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Embedded","807UE","Launched","32 nm",98,1,1,1,3.3,1,"",10,"Yes","Yes","4.88 GB","DDR3 1066/1333",1,"","Yes",NA,"350 MHz","800 MHz","","",NA,"","","","",NA,"","",NA,"100°C ","No","Yes","Yes","64-bit","","Yes","Yes","","",2011,98,98
"Legacy Intel® Celeron® Processor","Mobile","B810","Launched","32 nm",72,2,2,1.6,3.3,2,"",35,"Yes","Yes","16.6 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"650 MHz","950 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2011,36,36
"Legacy Intel® Celeron® Processor","Desktop","G530T","End of Life","32 nm",303,2,2,2,3.3,2,"5 GT/s DMI",35,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"650 MHz","1.00 GHz","","",NA,"","","","",NA,"2","",NA,"65.0°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,151.5,151.5
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.85,3.3,0.125,"100 MHz FSB",18.8,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,2.5,3.3,0.25,"400 MHz FSB",61,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.9,3.3,0.125,"100 MHz FSB",26.7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"77°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.633,3.3,0.125,"66 MHz FSB",16.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"82°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.4,3.3,0.125,"400 MHz FSB",59.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"71°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","333","End of Interactive Support","130 nm",303,1,4,0.9,3.3,0.5,"400 MHz FSB",7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","330","End of Interactive Support","90 nm",303,1,4,2.66,3.3,0.25,"533 MHz FSB",73,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","","No","","32-bit","","","","","",2004,303,75.75
"Legacy Intel® Celeron® Processor","Embedded","827E","Launched","32 nm",89,1,1,1.4,3.3,1.5,"",17,"Yes","Yes","16.6 GB","DDR3 1066/1333",2,"21.3 GB/s","Yes",NA,"350 MHz","800 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100","No","Yes","Yes","64-bit","","Yes","Yes","","",2011,89,89
"Legacy Intel® Celeron® Processor","Embedded","B810E","Launched","32 nm",72,2,2,1.6,3.3,2,"",35,"Yes","Yes","16.6 GB","DDR3 1066/1333",2,"21.3 GB/s","Yes",NA,"650 MHz","1.00 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100","No","Yes","Yes","64-bit","","Yes","Yes","","",2011,36,36
"Legacy Intel® Celeron® Processor","Desktop","G540","Launched","32 nm",41,2,2,2.5,3.3,2,"5 GT/s DMI",65,"Yes","Yes","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.00 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2011,20.5,20.5
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.8,3.3,0.125,"133 MHz FSB",22,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.8,3.3,0.125,"100 MHz FSB",17.6,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,2.4,3.3,0.25,"400 MHz FSB",35,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.85,3.3,0.125,"100 MHz FSB",25.7,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","No","No","No","32-bit","","No","","","No",2000,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.6,3.3,0.125,"66 MHz FSB",15.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"90°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.3,3.3,0.125,"400 MHz FSB",58.3,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","390","End of Interactive Support","90 nm",303,1,4,1.7,3.3,1,"400 MHz FSB",21,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","330","End of Interactive Support","90 nm",303,1,4,2.66,3.3,0.25,"533 MHz FSB",73,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","No","No","32-bit","","No","","","No",2004,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","B815","Launched","32 nm",303,2,2,1.6,3.3,2,"5 GT/s DMI",35,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"650 MHz","1.05 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,151.5,151.5
"Legacy Intel® Celeron® Processor","Mobile","847","Launched","32 nm",134,2,4,1.1,3.3,2,"5 GT/s DMI",17,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"350 MHz","800 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2011,67,33.5
"Legacy Intel® Celeron® Processor","Desktop","G540T","End of Life","32 nm",303,2,2,2.1,3.3,2,"5 GT/s DMI",35,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"650 MHz","1.00 GHz","","",NA,"","","","",NA,"2","",NA,"65.0°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2012,151.5,151.5
"Legacy Intel® Celeron® Processor","Mobile","573","End of Interactive Support","65 nm",303,1,4,1,3.3,0.5,"533 MHz FSB",10,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","Yes","64-bit","","","","","",2006,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.6,3.3,0.5,"400 MHz FSB",7,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","","No","","32-bit","","","","","",2003,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.733,3.3,0.25,"133 MHz FSB",47,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.75,3.3,0.125,"100 MHz FSB",15.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,2.2,3.3,0.25,"400 MHz FSB",35,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.8,3.3,0.125,"100 MHz FSB",20.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"80°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","180 nm",303,1,4,0.566,3.3,0.125,"66 MHz FSB",19.2,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"90°C","No","No","No","32-bit","","No","","","No",2000,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.2,3.3,0.125,"400 MHz FSB",57.1,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","380","End of Interactive Support","90 nm",303,1,4,1.6,3.3,1,"400 MHz FSB",21,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","326","End of Interactive Support","90 nm",303,1,4,2.53,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","Yes","64-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","B820","Launched","32 nm",303,2,2,1.7,3.3,2,"5 GT/s DMI",35,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"650 MHz","1.05 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,151.5,151.5
"Legacy Intel® Celeron® Processor","Embedded","847E","Launched","32 nm",111,2,2,1.1,3.3,2,"",17,"Yes","Yes","16.6 GB","DDR3 1066/1333",2,"21.3 GB/s","Yes",NA,"350 MHz","800 MHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100","No","Yes","Yes","64-bit","","Yes","Yes","","",2011,55.5,55.5
"Legacy Intel® Celeron® Processor","Desktop","G550","End of Life","32 nm",42,2,2,2.6,3.3,2,"5 GT/s DMI",65,"No","","32 GB","DDR3 1066",2,"17 GB/s","",NA,"850 MHz","1.00 GHz","","",NA,"","","","",NA,"2","",NA,"69.1°C","No","Yes","Yes","64-bit","SSE4.1/4.2","Yes","Yes","","Yes",2012,21,21
"Legacy Intel® Celeron® Processor","Mobile","530","End of Interactive Support","65 nm",303,1,4,1.73,3.3,1,"533 MHz FSB",27,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C,100°C","No","No","Yes","64-bit","","No","","","Yes",2007,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","443","End of Interactive Support","65 nm",303,1,4,1.2,3.3,1,"533 MHz FSB",5.5,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.733,3.3,0.125,"133 MHz FSB",20.6,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","180 nm",303,1,4,0.7,3.3,0.125,"100 MHz FSB",15,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,2,3.3,0.25,"400 MHz FSB",32,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","250 nm",303,1,4,0.533,3.3,0.125,"66 MHz FSB",28.3,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,2.1,3.3,0.125,"400 MHz FSB",55.5,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","","End of Interactive Support","130 nm",303,1,4,1.4,3.3,0.25,"100 MHz FSB",34.8,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","","End of Interactive Support","130 nm",303,1,4,0.8,3.3,0.5,"400 MHz FSB",7,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","370","End of Interactive Support","90 nm",303,1,4,1.5,3.3,1,"400 MHz FSB",21,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","No","No","32-bit","","No","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Desktop","325J","End of Interactive Support","90 nm",303,1,4,2.53,3.3,0.25,"533 MHz FSB",84,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"67.7°C","No","No","No","32-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Celeron® Processor","Mobile","B830","Launched","32 nm",303,2,2,1.8,3.3,2,"5 GT/s DMI",35,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"650 MHz","1.05 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100C","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2012,151.5,151.5
"Legacy Intel® Celeron® Processor","Mobile","857","Launched","32 nm",303,2,2,1.2,3.3,2,"5 GT/s DMI",17,"No","Yes","16 GB","DDR3 1066/1333",2,"21.3 GB/s","No",NA,"350 MHz","1.00 GHz","","eDP/DP/HDMI/SDVO/CRT",NA,"","","","",NA,"2","1x16, 2x8, 1x8 2x4",16,"100","No","Yes","Yes","64-bit","SSE4.x","Yes","Yes","","Yes",2011,151.5,151.5
